state,state_name,rank1,rank2,rank3
MA,Massachusetts,"Tree House Brewing Julius (IPA, 6.8%)","Trillium Fort Point Pale Ale (American Pale Ale, 6.6%)","Jack’s Abby Post Shift Pils (Pilsner, 4.7%)"
MI,Michigan,"Bell's Brewery Two Hearted Ale (American IPA, 7%)","Dark Horse Brewing Company Bourbon Barrel-aged Plead the 5th (Russian Imperial Stout, 12%)","Jolly Pumpkin Artisan Ales Oro de Calabaza (Golden Ale, 8%)"
MN,Minnesota,"Surly Brewing Company Abrasive Ale (Double IPA, 9.2%)","Bent Paddle Brewing Co. Cold Press Black Ale (American Black Ale, 6%)","Summit Brewing Company Keller Pils (German Kellerbier, 5.1%)"
MS,Mississippi,"Southern Prohibition Devil’s Harvest Breakfast IPA (IPA, 4.9%)","Lazy Magnolia Southern Pecan Nut Brown Ale (Pecan Nut Brown Ale, 4.3%)",N/A
MO,Missouri,"Perennial Artisan Ales Barrel-Aged Abraxas (Imperial Stout, 11%)","Side Project Brewing Fuzzy (Wild Ale, 8%)","Boulevard Brewing Co. Saison-Brett (Belgian-style Saison, 8.5%)"
MT,Montana,"MAP Oatmeal Stout (American Stout, 6.2%)","Bayern Pilsner (German Pilsner, 5%)","Lewis & Clark Miner’s Gold (Hefeweizen /  Wheat Beer, 5.8%)"
NV,Nevada,"Revision IPA (American IPA, 6.5%)","Great Basin Cerveza Chilebeso (Chile beer, 5.5%)","Big Dog Tripel (Belgian Tripel, 9.4%)"
NE,Nebraska,"Zipline Brewing Co. DAAANG! IPA (Double IPA, 8%)","Nebraska Brewing Company Barrel-aged HopAnomaly (Belgian IPA, 9.3%)",N/A
NH,New Hampshire,"Stoneface Brewing IPA (IPA, 7.2%)","Deciduous Brewing Lambent (Berliner Weisse, 4%)",N/A
NJ,New Jersey,"Magnify Vine Shine (IPA, 6.5%)","Carton Boat Beer (Session Ale, 4.2%)","Kane Sunday Brunch (Imperial Milk Porter, 9.2%)"
NM,New Mexico,"Rowley Farmhouse Germophile (Sour-Berliner Weiss, 5%)","La Cumbre Project Dank (IPA, 7.5%)","Marble Pilsner (Pilsner, 4.7%)"
NY,New York,"Threes Brewing Constant Disappointment  (IPA, 6.6%)","Family Suarez Palatine Pils (Pilsner, 5.2%)","Gun Hill Void of Light (Stout, 7.9%)"
NC,North Carolina,"Highland Gaelic Ale (American Amber, 5.5%)","Burial Surf Wax (West Coast-Style India Pale Ale, 6.8%)","NoDa Hop, Drop, n’ Roll IPA  (American India Pale Ale, 7.2%)"
ND,North Dakota,"Drekker Brewing Company Freak Parade (New England IPA, 8.2%)","Fargo Brewing Company None More Black (Russian Imperial Stout, 9.99%)",N/A
OH,Ohio ,"Columbus Brewing Company Bodhi (Double IPA, 8.5%)","Great Lakes Brewing Co. Edmund Fitzgerald (American Porter, 6%)","Jackie O's Pub & Brewery Bourbon Barrel Black Maple (Imperial Porter, 11%)"
OK,Oklahoma,"Prairie Artisan Ales Bomb! (American Imperial Stout, 13%)",N/A,N/A
OR,Oregon,"Breakside Brewery Wanderlust IPA (American-style IPA, 6.2%)","Upright Brewing Oregon Native (Farmhouse Ale Wine Hybrid, 8%)",N/A
PA,Pennsylvania,"Brew Gentlemen General Braddock’s IPA (IPA, 6.8%)","Victory Prima Pils (Pilsner, 5.3%)","Tired Hands Alien Church (IPA, 7%)"
RI,Rhode Island,"Tilted Barn The Chosen One (American Double IPA, 8.5%)","Proclamation Nomenclature (Double IPA, 8.3%)",N/A
SC,South Carolina,"Westbrook Mexican Chocolate Cake (Imperial Stout, 10.5%)","Coast HopArt (IPA, 7.7%)", N/A
SD,South Dakota,"Lost Cabin Beer Co. Lord Grizzly (Scotch Ale, 8.2%)","Crow Peak Brewing WICCA (Chile Beer, 6.6%)","Fernson Brewing Company Wagonplane Porter (Porter, 5.5%)"
TN,Tennessee,"Bearded Iris Homestyle (IPA, 6%)","Blackberry Farm Classic (Belgian-style Saison, 6.3%)",N/A
TX,Texas,"Shiner Bock (Bock, 4.4%)","Saint Arnold Fancy Lawnmower (German-style Kölsch, 4.9%)","Jester King Black Metal (Farmhouse Imperial Stout, 9.1%)"
UT,Utah,"Epic Big Bad Baptist (American Imperial Stout, 12.1%)","Uinta Baba Black Lager (German Schwarzbier, 4%","Shades Kveik Series (Fruited Sour, 6.5%)"
VT,Vermont,"Hill Farmstead Anna (Farmstead Ale, 6.5%)","Alchemist Focal Banger (IPA, 7%)","Fiddlehead IPA (IPA, 6.5%)"
VA,Virginia,"Hardywood Gingerbread Stout (Imperial Milk Stout, 9.2%)",N/A,N/A
WA,Washington,"Georgetown Brewing Bodhizafa IPA (American-style IPA, 6.9%)","Fremont Brewing B-Bomb (Barrel-Aged Imperial Winter Ale, 14%)","Chuckanut Brewing Pilsner Lager (Pilsner, 5%)"
WI,Wisconsin,"Funk Factory Geuzeria Frampaars (Belgian-style Lambic, 6%)","New Glarus Brewing Company Wisconsin Belgian Red (Fruit Beer, 4%)","The Brewing Projekt Resist (New England IPA, 7%)"
WV,West Virginia,"Greenbrier Valley Mothman (Black India Pale Ale, 6.7%)",N/A,N/A
WY,Wyoming,"Black Tooth 1314 (Scotch Ale, 11.6%)","Snake River Zonker Stout (Stout, 6%)","ALTitude Altbier (German Altbier, 5.5%)"
